License,Type of licenses,Name,Contact,Address,"City,State,Zip",County,Phone,ExpirationDate,Website
34676,Live Plant Licenses,,,1040 KING GEORGE BLVD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
35010,Live Plant Licenses,,,1975 EAST MONTGOMERY (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
35404,Live Plant Licenses,,,495 JOHNNY MERCER BLVD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
32799,Live Plant Licenses,,,11505 ABERCORN ST (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
34752,Live Plant Licenses,,,1907 E VICTORY DRIVE (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
37599,Live Plant Licenses,,,4600 HABERSHAM STREET (View Mapquest or view GoogleMap),"SAVANNAH, GA  31405",CHATHAM,847-368-6687,12/31/2026,
31063,Live Plant Licenses,JACOB CRESWELL,,"1815 E. VICTORY AVENUE, SUITE 101 (View Mapquest or view GoogleMap)","SAVANNAH, GA  31404",CHATHAM,512-499-6739,12/31/2026,
40109,Live Plant Licenses,Emily Hinners,,726 E 51St St (View Mapquest or view GoogleMap),"Savannah, GA  31405",Chatham,,12/31/2025,www.castandgrey.com
40839,Live Plant Licenses,MARK J. HADDEN,,2601 NORWOOD AVE. (View Mapquest or view GoogleMap),"SAVANNAH, GA  31406",CHATHAM,,12/31/2025,
33923,Live Plant Licenses,,,301 MONTGOMERY CROSS RD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
38194,Live Plant Licenses,Mr. Kareem Andrews,,1106 NE 36 St (View Mapquest or view GoogleMap),"Savannah, Ga  31404",CHATHAM,,12/31/2025,www.bestlandscapservices.com
39809,Live Plant Licenses,Amira Brown,,108 East DeRenne Ave. (View Mapquest or view GoogleMap),"Savannah, GA  31405",CHATHAM,(12) 234-0910,12/31/2025,
37460,Live Plant Licenses,,,7400 Abercorn Ste 601 (View Mapquest or view GoogleMap),"Savannah, GA  31406",CHATHAM,,12/31/2026,
35986,Live Plant Licenses,JULIE DICAMILLO,,39 ABERCORN ST (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
38512,Live Plant Licenses,CHARLIE JONES,,1 DIAMOND CAUSEWAY STE 21-194 (View Mapquest or view GoogleMap),"SAVANNAH, GA  31406",CHATHAM,,12/31/2026,
33909,Live Plant Licenses,,,150 JOHNNY MERCER BLVD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
42692,Live Plant Licenses,Dr. Shawn Hearn,,400 Pennsylvania ave (View Mapquest or view GoogleMap),"Savannah, GA  31416",CHATHAM,,12/31/2025,https://savannahhighschoolgardeningandartclub.com/
41600,Live Plant Licenses,Joshua Beckler,,704 columbus dr. (View Mapquest or view GoogleMap),"Savannah GA 31405, GA  31405",CHATHAM,,12/31/2025,becklerdesignstudio.com
31109,Live Plant Licenses,,,"1821 E. VICTORY DRIVE, BLDG. B. (View Mapquest or view GoogleMap)","SAVANNAH, GA  31404",CHATHAM,912-356-1076,12/31/2026,
33883,Live Plant Licenses,Denise Flis,,5720 OGEECHEE RD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
32292,Live Plant Licenses,ANNE CHANG,,8471 WATERS AVE (View Mapquest or view GoogleMap),"SAVANNAH, GA  31406",CHATHAM,,12/31/2025,
42969,Live Plant Licenses,ANTHONY DEBRECENY,,5 W YORK ST. (View Mapquest or view GoogleMap),"SAVANNAH, GA  31401",CHATHAM,,12/31/2025,CURRENTLY IN PROCESS
41137,Live Plant Licenses,Steve Cooler,,205 Burton Rd (View Mapquest or view GoogleMap),"Savannah , Ga  31405",CHATHAM,,12/31/2025,Satsumas of Savannah.com
41310,Live Plant Licenses,Alex Henry,,702 Mall Blvd (View Mapquest or view GoogleMap),"Savannah, GA  31406",CHATHAM,,12/31/2025,https://www.sproutsavannah.net/
36239,Live Plant Licenses,,,11701 ABERCORN ST (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
33908,Live Plant Licenses,,,12012 ABERCORN ST (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
33156,Live Plant Licenses,,,318 MALL BLVD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
35435,Live Plant Licenses,JOHN DAVIS,,2430 ABERCORN ST (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
36734,Live Plant Licenses,SCOTT HINSON,,414 WHITAKER ST (View Mapquest or view GoogleMap),"SAVANNAH, GA  31401",CHATHAM,,12/31/2025,
38573,Live Plant Licenses,JAMES OLIVER,,170 WHITEMARSH ISLAND RD. (View Mapquest or view GoogleMap),"SAVANNAH, GA  31410",CHATHAM,,12/31/2025,
41020,Live Plant Licenses,Kevin Blackston,,2 Windswept Lane (View Mapquest or view GoogleMap),"Savannah , Ga  31411",CHATHAM,,12/31/2025,Seabreezelandscape.com
39615,Live Plant Licenses,RANDY WEST,,5698 OGEECHEE RD. (View Mapquest or view GoogleMap),"SAVANNAH, GA  31410",CHATHAM,912-897-7805,12/31/2025,
40457,Live Plant Licenses,Robert Romanelli,,170 Green Island Road (View Mapquest or view GoogleMap),"Savannah, GA  31411",Chatham,,12/31/2026,not available yet
41426,Live Plant Licenses,Emily Luhm,,3 Barksdale Dr (View Mapquest or view GoogleMap),"Savannah, GA  31419",CHATHAM,,12/31/2025,
33903,Live Plant Licenses,,,2055 EAST VICTORY DR (View Mapquest or view GoogleMap),"SAVANNAH, GA  31404",CHATHAM,,12/31/2025,
36077,Live Plant Licenses,MIKE BASHLER,,5657 OGEECHEE RD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,912-233-2231,12/31/2026,
37428,Live Plant Licenses,,,8108 ABERCORN ST. (View Mapquest or view GoogleMap),"SAVANNAH, GA  31406",CHATHAM,,12/31/2026,
42790,Live Plant Licenses,Leigh Anna Dayton and Vivian Hui,,"1900 East Victory Drive, STE A00 (View Mapquest or view GoogleMap)","Savannah, GA  31404",CHATHAM,,12/31/2025,
43089,Live Plant Licenses,Katherine Schneider,,11 Hidden Lagoon Court (View Mapquest or view GoogleMap),"Savannah, GA  31419",Chatham,,12/31/2026,
32040,Live Plant Licenses,ALLAN BRADHAM,,703 EAST MONTGOMERY CROSS RD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
31845,Live Plant Licenses,,,11114 ABERCORN ST (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
37139,Live Plant Licenses,Jay Ulrich,,7 East 61st St (View Mapquest or view GoogleMap),"Savannah, GA  31405",chatham,,12/31/2025,
30286,Live Plant Licenses,MIKE JONES,,4607 HABERSHAM STREET (View Mapquest or view GoogleMap),"SAVANNAH, GA  31405",CHATHAM,912-356-5409,12/31/2026,
33900,Live Plant Licenses,,,712 STEPHENSON AVE (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
33055,Live Plant Licenses,,,4717 HWY 80 EAST UNIT B (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
41473,Live Plant Licenses,,,19 Walthour Cove (View Mapquest or view GoogleMap),"Savannah, GA  31410",Chatham,,12/31/2025,
35182,Live Plant Licenses,,,8914 WHITE BLUFF RD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
33911,Live Plant Licenses,,,119 BULL ST (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
40759,Live Plant Licenses,Sebrell Smith,,8419 Ferguson Avenue (View Mapquest or view GoogleMap),"Savannah, GA  31406",CHATHAM,,12/31/2025,www.sandflyflowershop.com
37026,Live Plant Licenses,TAKEISHA JAMES,,10530 ABERCORN ST (View Mapquest or view GoogleMap),"SAVANNAH, GA  31419",CHATHAM,,12/31/2025,
41406,Live Plant Licenses,Melissa Oxendine,,172 Enclave Blvd (View Mapquest or view GoogleMap),"Savannah, GA  31419",CHATHAM,,12/31/2025,
38419,Live Plant Licenses,Leigh Anna Dayton,,7805 Abercorn St Ste 14B (View Mapquest or view GoogleMap),"Savannah, GA  31406",CHATHAM,844-839-8330,12/31/2025,
36066,Live Plant Licenses,MARK HADDEN,,7402 SKIDAWAY RD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,912-691-1002,12/31/2026,
33502,Live Plant Licenses,KRISTIE HENRY,,1901 EAST VICTORY DRIVE (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,770-433-8211,12/31/2025,
41469,Live Plant Licenses,,,12 Old Barn Road (View Mapquest or view GoogleMap),"Savannah, Ga  31419",CHATHAM,,12/31/2025,
39103,Live Plant Licenses,MELISSA OWENS or LUIS SIMON,,1722 E President Street (View Mapquest or view GoogleMap),"SAVANNAH, GA  31404",CHATHAM,912-330-1722,12/31/2025,www.simonlandscape.com
36002,Live Plant Licenses,,,7 DIAMOND CAUSEWAY (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
43024,Live Plant Licenses,Eileen Ruth Noneman,,107 Halifax Rd (View Mapquest or view GoogleMap),"Savannah, GA  31410",CHATHAM,,12/31/2025,
40123,Live Plant Licenses,HEATHER WRIGHT,,209 SHIPYARD RD. (View Mapquest or view GoogleMap),"SAVANNAH, GA  31406",CHATHAM,,12/31/2025,
33462,Live Plant Licenses,,,14065 ABERCORN ST (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
36213,Live Plant Licenses,RANDY WEST,,318 JOHNNY MERCER BLVD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,912-897-7805,12/31/2025,
42619,Live Plant Licenses,Elizabeth North,,118 E 46th St (View Mapquest or view GoogleMap),"Savannah, GA  31405",CHATHAM,,12/31/2025,
30018,Live Plant Licenses,KURT OELSCHIG,,2705 GREGORY ST (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,912-236-3101,12/31/2026,WWW.OELSCHIGS.COM
39415,Live Plant Licenses,Jake Henry,,303 Martin Luther King Jr. Blvd. (View Mapquest or view GoogleMap),"Savannah, GA  31401",CHATHAM,,12/31/2026,savannahtree.com
35783,Live Plant Licenses,,,6000 OGEECHEE ROAD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
42606,Live Plant Licenses,Jennifer Grayson,,401 Whitaker St (View Mapquest or view GoogleMap),"Savannah, GA  31401",Chatham,,12/31/2025,www.onefishstore.com
33427,Live Plant Licenses,JEFF JACKSON,,700 E DERENNE AVE (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
32182,Live Plant Licenses,KENNETH LEE,,1900 E VICTORY DR (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
35959,Live Plant Licenses,BRENDA M SORRELLS,,559 MENDEL AVENUE (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,912-921-4577,12/31/2025,
31956,Live Plant Licenses,OSCAR CARLSTEDT,,515 BARNARD ST (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,904-354-2829,12/31/2026,
40020,Live Plant Licenses,Phillip Glenn Brist or Carolyn Jennelle,,8 Brevard Court (View Mapquest or view GoogleMap),"Savannah, GA  31410",CHATHAM,,12/31/2026,
41528,Live Plant Licenses,ANDRE NIEDERBERGER,,1903 Hawthorne St. (View Mapquest or view GoogleMap),"Savannah, GA  31404",CHATHAM,,12/31/2026,WWW.RAVENALALANDSCAPE.COM
30384,Live Plant Licenses,KATE TITUS,,5 ABERCORN PLAZA ROAD (View Mapquest or view GoogleMap),"SAVANNAH, GA  31406",CHATHAM,508-390-4799,12/31/2026,
42135,Live Plant Licenses,Matt Zaloumis,,1736 Wilmington Island Road (View Mapquest or view GoogleMap),"Savannah, GA  31410",CHATHAM,,12/31/2026,
39140,Live Plant Licenses,DIANE POLK,,6808 LAROCHE AVE. #14 (View Mapquest or view GoogleMap),"SAVANNAH, GA  31406",CHATHAM,,12/31/2025,
43022,Live Plant Licenses,ANTHONY DEBRECENY,,621 DRAYTON ST. (View Mapquest or view GoogleMap),"SAVANNAH, GA  31401",CHATHAM,,12/31/2025,https://forsythpark.thecollinsquarter.com/
36551,Live Plant Licenses,Kerry Shay,,2142 E 43rd St (View Mapquest or view GoogleMap),"Savannah, GA  31404",Chatham,,12/31/2025,www.SavannahVictoryGardens.com
34527,Live Plant Licenses,,,1403 ABERCORN ST (View Mapquest or view GoogleMap),"SAVANNAH, GA  31401",CHATHAM,,12/31/2025,
36165,Live Plant Licenses,,,5690 OGEECHEE RD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
35993,Live Plant Licenses,,,125 JOHNNY MERCER BLVD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
34602,Live Plant Licenses,,,5701 OGEECHEE RD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
33920,Live Plant Licenses,,,7360 SKIDAWAY RD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
41819,Live Plant Licenses,,,1651 E. Victory Drive NE (View Mapquest or view GoogleMap),"Savannah, GA  31404",CHATHAM,,12/31/2025,
35300,Live Plant Licenses,,,5500 ABERCORN ST SUITE 2 (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
34677,Live Plant Licenses,,,2208 E DE RENNE AVE (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
36443,Live Plant Licenses,HOLLY WEISS,,5353 REYNOLDS STREET (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,912-819-5889,12/31/2026,
35337,Live Plant Licenses,,,4725 EAST HWY 80 (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
33924,Live Plant Licenses,,,5401 ABERCORN STREET (View Mapquest or view GoogleMap),"SAVANNAH, GA  31405",CHATHAM,,12/31/2025,
38656,Live Plant Licenses,Amy Zipperer,,3005 E. Victory Drive (View Mapquest or view GoogleMap),"Savannah, GA  31404",CHATHAM,,12/31/2026,
38677,Live Plant Licenses,CHARLES DANIEL,,108 DAISY COURT (View Mapquest or view GoogleMap),"SAVANNAH, GA  31404",CHATHAM,,12/31/2026,
42248,Live Plant Licenses,Deanna Charles,,7400 Abercorn Street (View Mapquest or view GoogleMap),"Savannah, GA  31406",CHATHAM,717-651-1376,12/31/2026,www.ollies.us
31295,Live Plant Licenses,,,2109 E. VICTORY DRIVE (View Mapquest or view GoogleMap),"SAVANNAH, GA  31404",CHATHAM,912-354-2921,12/31/2026,
35517,Live Plant Licenses,,,11180 ABERCORN ST (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
40834,Live Plant Licenses,Vera Vairo,,2 Duck Bill Chase (View Mapquest or view GoogleMap),"Savannah, GA  31419",CHATHAM,,12/31/2026,
38681,Live Plant Licenses,Michael Neal,,15015 Abercorn St (View Mapquest or view GoogleMap),"Savannah, GA  31419",CHATHAM,,12/31/2026,www.cobiaclarkenursery.com
36590,Live Plant Licenses,MIKE NEAL,,15015 ABERCORN ST. (View Mapquest or view GoogleMap),"SAVANNAH, GA  31419",CHATHAM,,12/31/2025,
35031,Live Plant Licenses,MIKE BASHLOR,,4605 GARRARD AVE (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
30964,Live Plant Licenses,Stella Mathews,,101 Winchester Drive (View Mapquest or view GoogleMap),"Savannah, GA  31410",CHATHAM,,12/31/2025,
36414,Live Plant Licenses,,,101 TELFAIR RD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,757-463-2848,12/31/2026,
32533,Live Plant Licenses,,,11132 ABERCORN ST (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2026,
39346,Live Plant Licenses,JOEL F. ROSAL,,300 W. BROUGHTON ST. (View Mapquest or view GoogleMap),"SAVANNAH, GA  31401",CHATHAM,912-999-3334,12/31/2026,
331131,Animal Shelters Licenses,The Humane Society For Greater Savannah,Sean Griffin,7215 Sallie Mood Dr,"Savannah , GA      31406",CHATHAM,9123549515,12/31/2025,
39388,Live Plant Licenses,Angela Campbell,,14070 Abercorn St (View Mapquest or view GoogleMap),"Savannah, GA  31401",CHATHAM,,12/31/2025,
337643,Animal Shelters Licenses,Chatham County Animal Services,Dr. Charles Harper DVM,7211 Sallie Mood Dr,"Savannah , GA      31406",CHATHAM,9126526575,1/31/2026,
39404,Live Plant Licenses,GLADYS WISE,,51 JOHNNY MERCER BLVD (View Mapquest or view GoogleMap),"SAVANNAH, GA  31410",CHATHAM,,12/31/2025,
3400323,Animal Shelters Licenses,Islands Feral Cat Project,Linda Olson,2 Governors Ct,"Savannah , GA      31410",CHATHAM,9127773289,2/28/2026,
30062,Live Plant Licenses,MITCH JONES,,3310 OGEECHEE RD (View Mapquest or view GoogleMap),"SAVANNAH, GA  31405",CHATHAM,912-358-0514,12/31/2026,
35143,Live Plant Licenses,,,155 JOHNNY MERCER BLVD (View Mapquest or view GoogleMap),"SAVANNAH, GA",CHATHAM,,12/31/2025,
3400021,Animal Shelters Licenses,"Red Clay Animal Rescue, Inc.",Emily Pointer,715 Washington Ave,"Savannah , GA      31405",CHATHAM,774-287-9915,10/31/2026,
33102917,Animal Shelters Licenses,GRRR GA Rescue Rehabilitation Relocation,MARGARET LYNN SKINNER,6609 La Roche Ave,"Savannah , GA      31406",CHATHAM,9126569792,9/30/2026,
33103695,Animal Shelters Licenses,F.A.C.T.S,DIANE ABOLT,110 Olde Towne Rd,"Savannah , GA      31410",CHATHAM,912-897-4438,2/28/2026,
8720,Seed Dealers Licenses,"DOLLAR TREE STORES, INC. #08059",DONNA R. GRAVES,1920 EAST GWINNETT ST.,"SAVANNAH, GA      31404",CHATHAM,757-698-7103,7/31/2027,
33105772,Animal Shelters Licenses,ONE LOVE ANIMAL RESCUE,KARRIE BULSKI,118 Candleberry Ln,"Savannah , GA      31406",CHATHAM,912-596-2955,12/31/2026,
3400322,Animal Shelters Licenses,Renegade Paws Rescue,,2357 Ogeechee Rd,"Savannah , GA      31401",CHATHAM,9126656046,5/31/2026,
1307,Seed Dealers Licenses,WAL-MART STORES EAST #0635,,6000 OGEECHEE RD.,"SAVANNAH, GA      31419",CHATHAM,,7/31/2027,
33103030,Animal Shelters Licenses,"COASTAL PET RESCUE, INC",LISA SCARBROUGH,7430 Thomas Ave,"Savannah , GA      31406",CHATHAM,912-228-3538,10/31/2026,
2196,Seed Dealers Licenses,"GEORGIA CVS PHARMACY, LLC #4187",JOANNE P. AMITRANO,119 BULL ST.,"SAVANNAH, GA      31401",CHATHAM,,7/31/2027,
33102131,Animal Shelters Licenses,SAVE A LIFE,Melissa Mauldin,112 Edgewood Rd,"Savannah , GA      31404",CHATHAM,9124120057,8/31/2026,
2126,Seed Dealers Licenses,"GEORGIA CVS PHARMACY, LLC #7228",JOANNE P. AMITRANO,7360 SKIDAWAY RD.,"SAVANNAH, GA      31406",CHATHAM,,7/31/2027,
5650,Seed Dealers Licenses,"FOOD LION, LLC #2682",LAURA TUBBS,1040 KING GEORGE BLVD.,"SAVANNAH, GA      31419",CHATHAM,912-920-2114,7/31/2027,
7551,Seed Dealers Licenses,WHOLE FOODS MARKET,JACOB CRESWELL,"1815 EAST VICTORY DRIVE, STE. 101","SAVANNAH, GA      31404",CHATHAM,912-358-5829,7/31/2027,
4463,Seed Dealers Licenses,WALGREEN COMPANY #02171,TONI FRANKLIN,700 E. DERENNE AVENUE,"SAVANNAH, GA      31505",CHATHAM,847-527-4402,7/31/2027,
8739,Seed Dealers Licenses,WALGREEN CO. DBA WALGREENS #21192,TODD HECKMAN,300 W. BROUGHTON ST.,"SAVANNAH, GA      31401",CHATHAM,912-999-3333,7/31/2027,
7770,Seed Dealers Licenses,Dollar General #15520,,3005 Ogeechee Rd,"Savannah, GA      31405",,,7/31/2027,
4940,Seed Dealers Licenses,KROGER #979,DENISE FLIS,1900 E VICTORY DR,"SAVANNAH, GA      31404",CHATHAM,,7/31/2027,
9966,Seed Dealers Licenses,"Ross Dress For Less,Inc #2711",Leigh Anna Dayton and Vivian Hui,"1900 East Victory Drive, STE A00","Savannah, GA      31404",CHATHAM,925-965-4400,7/31/2027,
1534,Seed Dealers Licenses,"FAMILY DOLLAR STORES, LLC. #0356",,3308 OGEECHEE ROAD,"SAVANNAH, GA      31405-2902",CHATHAM,,7/31/2027,
6492,Seed Dealers Licenses,KROGER #645,DENISE FLIS,5720 OGEECHEE RD.,"SAVANNAH, GA      31405",CHATHAM,,7/31/2027,
7325,Seed Dealers Licenses,WALGREEN COMPANY #15611,SHAWN GOFF,2109 EAST VICTORY DRIVE,"SAVANNAH, GA      31404",CHATHAM,912-354-2603,7/31/2027,
5203,Seed Dealers Licenses,DOLLAR TREE #0372,,7805 ABERCORN ST EXT CHATHAM PLAZA,"SAVANNAH, GA      31406",CHATHAM,757-321-5000,7/31/2027,
5244,Seed Dealers Licenses,DOLLAR TREE #1152,,403 HWY 80 WESTSIDE S/C,"SAVANNAH, GA      31408",CHATHAM,757-321-5000,7/31/2027,
8435,Seed Dealers Licenses,DOLLAR GENERAL #15936,JESSICA HEALEY,3111 SKIDAWAY RD.,"SAVANNAH, GA      31404",CHATHAM,508-285-5800,7/31/2027,
6753,Seed Dealers Licenses,"WAL-MART STORES EAST, LP",,14030 ABERCORN STREET,"SAVANNAH, GA      31419",CHATHAM,,7/31/2027,
1715,Seed Dealers Licenses,"FOOD LION, LLC #1181",LAURA TUBBS,8914 WHITE BLUFF ROAD,"SAVANNAH, GA      31406",CHATHAM,912-925-0755,7/31/2027,
5748,Seed Dealers Licenses,CVS GEORGIA PHARMACY LLC,JOANNE P. AMITRANO,5690 OGEECHEE RD.,"SAVANNAH, GA      31405",CHATHAM,,7/31/2027,
4171,Seed Dealers Licenses,"BASS PRO OUTDOOR WORLD, LLC",JAMES A. HAGLE,14045 ABERCORN STREET,"SAVANNAH, GA      31419",CHATHAM,912-961-4200,7/31/2027,
7843,Seed Dealers Licenses,WAL-MART #4530,TAKEISHA JAMES,10530 ABERCORN ST,"SAVANNAH, GA      31419",,479-277-8354,7/31/2027,
9107,Seed Dealers Licenses,"DOLLAR TREE STORES, INC. #08960",DONNA R. GRAVES,10402 ABERCORN STREET,"SAVANNAH, GA      31419",CHATHAM,757-698-7103,7/31/2027,
7006,Seed Dealers Licenses,"FAMILY DOLLAR STORE OF GA, LLC. # 9019",CHRISTAL POWELL,610 MARTIN LUTHER KING BLVD,"SAVANNAH, GA      31401",CHATHAM,704-847-6961,7/31/2027,
8028,Seed Dealers Licenses,MARSHALLS OF MA. #702,KRISTIN ADAMS,8108 ABERCORN ST,"SAVANNAH, GA      31406",CHATHAM,774-308-5854,7/31/2027,
2202,Seed Dealers Licenses,"GEORGIA CVS PHARMACY, LLC #4229",JOANNE P. AMITRANO,12012 ABERCORN ST.,"SAVANNAH, GA      31419",CHATHAM,,7/31/2027,
7979,Seed Dealers Licenses,"THE TJX COMPANIES, INC. # 365",KRISTIN ADAMS,7400 ABERCORN SUITE 601,"SAVANNAH, GA      31406",CHATHAM,774-308-5854,7/31/2027,
6524,Seed Dealers Licenses,WALGREEN COMPANY #10635,TONI FRANKLIN,5701 OGEECHEE RD.,"SAVANNAH, GA      31405",CHATHAM,847-527-4402,7/31/2027,
6506,Seed Dealers Licenses,"FOOD LION, LLC #2150",LAURA TUBBS,2208 E. DERENNE AVE.,"SAVANNAH, GA      31406",CHATHAM,912-356-1274,7/31/2027,
8934,Seed Dealers Licenses,TRACTOR SUPPLY COMPANY #2545,JESSIE RICE,6083 OGEECHEE RD.,"SAVANNAH, GA      31419",CHATHAM,615-440-4952,7/31/2027,
7005,Seed Dealers Licenses,"FAMILY DOLLAR STORE OF GA, LLC. # 8738",CHRISTAL POWELL,3201 MONTGOMERY AVENUE,"SAVANNAH, GA      31405",CHATHAM,704-847-6961,7/31/2027,
3252,Seed Dealers Licenses,"BIG LOTS STORES, INC. #1590",DORIS GREATHOUSE,13051 ABERCORN RD.,"SAVANNAH, GA      31419",CHATHAM,,7/31/2027,
6017,Seed Dealers Licenses,PETSMART INC. #221,,11132 ABERCORN STREET,"SAVANNAH, GA      31419",CHATHAM,623-587-2949,7/31/2027,
1305,Seed Dealers Licenses,WAL-MART STORES EAST #0606,,4725 EAST HWY 80,"SAVANNAH, GA      31410",CHATHAM,,7/31/2027,
3332,Seed Dealers Licenses,WALGREEN COMPANY #06098,VANDANA/TONI FRANKLIN,125 JOHNNY MERCER BLVD.,"SAVANNAH, GA      31410",CHATHAM,847-527-4402,7/31/2027,
9723,Seed Dealers Licenses,"Ollie's Bargain Outlet, Inc.",Deanna Charles,7400 Abercorn Street,"Savannah, GA      31405",CHATHAM,717-657-2300,7/31/2027,
9017,Seed Dealers Licenses,DOLLAR GENERAL STORE #20159,JESSICA HEALEY,6719 WATERS AVE.,"SAVANNAH, GA      31406",CHATHAM,508-285-5800,7/31/2027,
4845,Seed Dealers Licenses,KROGER #418,DENISE FLIS,311 EAST GWINNETT ST,"SAVANNAH, GA      31401",CHATHAM,,7/31/2027,
